"wavelength" "epsilon"
583.277591973244 -8.72395788747438+1.5561191330035i
585.61872909699 -8.73661200344181+1.53021099578883i
587.959866220736 -8.74217680566265+1.50425121074758i
590.301003344482 -8.74162849712899+1.4783112849478i
592.642140468227 -8.73594328083293+1.45246272545757i
594.983277591973 -8.72609735976659+1.42677703934494i
597.324414715719 -8.71306693692206+1.40132573367799i
599.665551839465 -8.69782821529145+1.37618031552478i
602.006688963211 -8.68135739786686+1.35141229195338i
604.347826086957 -8.66463068764041+1.32709317003185i
606.688963210702 -8.64862428760418+1.30329445682825i
609.030100334448 -8.6343144007503+1.28008765941065i
611.371237458194 -8.62267723007086+1.25754428484712i
613.71237458194 -8.61468897855796+1.23573584020573i
616.053511705686 -8.61132584920372+1.21473383255453i
618.394648829431 -8.61356404500023+1.19460976896159i
620.735785953177 -8.6223797689396+1.17543515649498i
623.076923076923 -8.63874922401394+1.15728150222277i
625.418060200669 -8.66364861321535+1.14022031321302i
627.759197324415 -8.69805413953594+1.12432309653379i
630.100334448161 -8.74294200596779+1.10966135925315i
632.441471571906 -8.79928841550304+1.09630660843916i
634.782608695652 -8.86806957113378+1.0843303511599i
637.123745819398 -8.9502616758521+1.07380409448343i
639.464882943144 -9.04684093265013+1.0647993454778i
641.80602006689 -9.15878354451996+1.05738761121109i
644.147157190635 -9.28706571445369+1.05164039875137i
646.488294314381 -9.43266364544343+1.04762921516669i
648.829431438127 -9.59655354048129+1.04542556752513i
651.170568561873 -9.77971160255937+1.04510096289474i
653.511705685619 -9.9830787774485+1.04672408544116i
655.852842809365 -10.2063815285104+1.0502663806583i
658.19397993311 -10.4478534815603+1.0555797686034i
660.535117056856 -10.7056365899375+1.0625088294912i
662.876254180602 -10.9778728069816+1.0708981435364i
665.217391304348 -11.2627040860319+1.0805922909537i
667.558528428094 -11.5582723804279+1.0914358519578i
669.899665551839 -11.8627196435091+1.1032734067633i
672.240802675585 -12.1741878286148+1.115949535585i
674.581939799331 -12.4908188890845+1.1293088186375i
676.923076923077 -12.8107547782575+1.1431958361356i
679.264214046823 -13.1321374494735+1.1574551682939i
681.605351170569 -13.4531088560717+1.1719313953271i
683.946488294314 -13.7718109513917+1.1864690974499i
686.28762541806 -14.0863856887728+1.200912854877i
688.628762541806 -14.3949750215545+1.2151072478231i
690.969899665552 -14.6960390587802+1.2289229851522i
693.311036789298 -14.9895794249578+1.2423573732292i
695.652173913043 -15.2760639719254+1.2554460075029i
697.993311036789 -15.5559606519393+1.2682244916688i
700.334448160535 -15.8297374172557+1.2807284294226i
702.675585284281 -16.0978622201309+1.2929934244599i
705.016722408027 -16.3608030128211+1.3050550804763i
707.357859531773 -16.6190277475825+1.3169490011674i
